"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"10","E17E66F5","GO101_25_7578","Huntington","7578","0","91BE652D","0"
"10","97006089","GO101_25_7578_1","Huntington","7578","0","91BE652D","0"
"10","7AD37633","GO101_25_7579","Penn Station","7579","1","91BE652DW","0"
"10","10106953","GO101_25_7579_1","Penn Station","7579","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7580","Huntington","7580","0","91BE652D","0"
"10","97006089","GO101_25_7580_1","Huntington","7580","0","91BE652D","0"
"10","7AD37633","GO101_25_7581","Penn Station","7581","1","91BE652DW","0"
"10","10106953","GO101_25_7581_1","Penn Station","7581","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7582","Huntington","7582","0","91BE652D","0"
"10","97006089","GO101_25_7582_1","Huntington","7582","0","91BE652D","0"
"10","7AD37633","GO101_25_7583","Penn Station","7583","1","91BE652DW","0"
"10","10106953","GO101_25_7583_1","Penn Station","7583","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7584","Huntington","7584","0","91BE652D","0"
"10","97006089","GO101_25_7584_1","Huntington","7584","0","91BE652D","0"
"10","7AD37633","GO101_25_7585","Penn Station","7585","1","91BE652DW","0"
"10","10106953","GO101_25_7585_1","Penn Station","7585","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7586","Huntington","7586","0","91BE652D","0"
"10","97006089","GO101_25_7586_1","Huntington","7586","0","91BE652D","0"
"10","7AD37633","GO101_25_7587","Penn Station","7587","1","91BE652DW","0"
"10","10106953","GO101_25_7587_1","Penn Station","7587","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7588","Huntington","7588","0","91BE652D","0"
"10","97006089","GO101_25_7588_1","Huntington","7588","0","91BE652D","0"
"10","7AD37633","GO101_25_7589","Penn Station","7589","1","91BE652DW","0"
"10","10106953","GO101_25_7589_1","Penn Station","7589","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7590","Huntington","7590","0","91BE652D","0"
