"service_id","date","exception_type"
"93C4C133","20250620","1"
"871A039D","20250521","1"
"871A039D","20250522","1"
"871A039D","20250523","1"
"871A039D","20250527","1"
"871A039D","20250528","1"
"871A039D","20250529","1"
"871A039D","20250530","1"
"871A039D","20250602","1"
"871A039D","20250603","1"
"871A039D","20250604","1"
"871A039D","20250605","1"
"871A039D","20250606","1"
"871A039D","20250609","1"
"871A039D","20250610","1"
"871A039D","20250611","1"
"871A039D","20250613","1"
"871A039D","20250616","1"
"871A039D","20250617","1"
"871A039D","20250618","1"
"871A039D","20250619","1"
"871A039D","20250620","1"
"871A039D","20250623","1"
"871A039D","20250624","1"
"871A039D","20250625","1"
"871A039D","20250626","1"
"871A039D","20250627","1"
"871A039D","20250630","1"
"871A039D","20250701","1"
"871A039D","20250702","1"
"871A039D","20250703","1"
"871A039D","20250707","1"
"871A039D","20250708","1"
"871A039D","20250709","1"
"871A039D","20250710","1"
"871A039D","20250711","1"
"871A039D","20250714","1"
"871A039D","20250715","1"
"871A039D","20250716","1"
"871A039D","20250717","1"
"871A039D","20250718","1"
"871A039D","20250721","1"
"871A039D","20250722","1"
"871A039D","20250724","1"
"871A039D","20250725","1"
"871A039D","20250728","1"
"871A039D","20250729","1"
"871A039D","20250730","1"
"871A039D","20250731","1"
"871A039D","20250801","1"
"871A039D","20250804","1"
"871A039D","20250805","1"
"871A039D","20250807","1"
"871A039D","20250808","1"
"871A039D","20250811","1"
"871A039D","20250812","1"
"871A039D","20250813","1"
"871A039D","20250814","1"
"871A039D","20250815","1"
"871A039D","20250818","1"
"871A039D","20250819","1"
"871A039D","20250820","1"
"871A039D","20250821","1"
"871A039D","20250822","1"
"871A039D","20250825","1"
"871A039D","20250826","1"
"871A039D","20250827","1"
"871A039D","20250828","1"
"871A039D","20250829","1"
"7DF045D4","20250612","1"
"7DF045D4","20250723","1"
"7DF045D4","20250806","1"
"73AD81EB","20250524","1"
"73AD81EB","20250525","1"
"73AD81EB","20250526","1"
"73AD81EB","20250531","1"
"73AD81EB","20250601","1"
"73AD81EB","20250614","1"
"73AD81EB","20250615","1"
"73AD81EB","20250628","1"
"73AD81EB","20250629","1"
